file id,system1,system2,system3
wav_2214.wav,celery and nut salad cut enough celery fine to measure two cups add one cup of finely shredded or shaved cabbage and one and one half cups of walnut meats broken in small pieces but not chopped,CELERY AND NUT SALAD CUT ENOUGH CELERY FINE TO MEASURE TWO CUPS ADD ONE CUP OF FINELY SHREDDED OR SHAVED CABBAGE AND ONE AND ONE HALF CUPS OF WALNUT MEATS BROKEN IN SMALL PIECES BUT NOT CHOPPED,celery and nuts salad cut enough celery fine to measure two cups add one cup of finely shredded or shaved cabbage and one and one half cups of walnut meats broken in small pieces but not chopped
wav_652.wav,he was of a clean saving disposition and had already paid a number of monthly instalments on two lots far out on the west side,HE WAS OF A CLEAN SAVING DISPOSITION AND HAD ALREADY PAID A NUMBER OF MONTHLY INSTALMENTS ON TWO LOTS FAR OUT ON THE WEST SIDE,he was of a clean saving disposition and had already paid a number of monthly installments on two lots far out on the west side
wav_8.wav,as for etchings they are of two kinds british and foreign,AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN,as for etchings they are of two kinds british and foreign
wav_485.wav,we lay still and did not talk,WE LAY STILL AND DID NOT TALK,we lay still and did not talk
wav_1348.wav,one of the squires observed in his mixture of gascon and catalan this captain of ours would make a better friar than highwayman if he wants to be so generous another time let it be with his own property and not ours,ONE OF THE SQUIRES OBSERVED IN HIS MIXTURE OF GASCON AND CATALAN THIS CAPTAIN OF OURS WOULD MAKE A BETTER FRIAR THAN HIGHWAYMAN IF HE WANTS TO BE SO GENEROUS ANOTHER TIME LET IT BE WITH HIS OWN PROPERTY AND NOT OURS,one of the squires observed in his mixture of gascon and catalan this captain of ours would make a better friar than highwayman if he wants to be so generous another time let it be with his own property in not ours
wav_1221.wav,they did not know who i was and did not like to ask me whilst i thought it better to preserve a modest silence,THEY DID NOT KNOW WHO I WAS AND DID NOT LIKE TO ASK ME WHILST I THOUGHT IT BETTER TO PRESERVE A MODEST SILENCE,they did not know who i was and did not like to ask me whilst i thought it better to preserve a modest silence
wav_132.wav,she listened intently but she heard nothing but the creaking of his chair,SHE LISTENED INTENTLY BUT SHE HEARD NOTHING BUT THE CREAKING OF HIS CHAIR,she listened intently but she heard nothing but the creaking of his chair
wav_36.wav,i do not know confessed shaggy,I DO NOT KNOW CONFESSED SHAGGY,i do not know confessed shaggy
wav_2496.wav,hansel thought the roof tasted very nice and so he tore off a great piece while gretel broke a large round pain out of the window and sat down quite contentedly,HANSEL THOUGHT THE ROOF TASTED VERY NICE AND SO HE TORE OFF A GREAT PIECE WHILE GRETEL BROKE A LARGE ROUND PAIN OUT OF THE WINDOW AND SAT DOWN QUITE CONTENTEDLY,hansel thought the roof tasted very nice and so he tore off a great piece while gretel broke a large round pane out of the window and sat down quite contentedly
wav_2157.wav,he had been late he had offered no excuse no explanation,HE HAD BEEN LATE HE HAD OFFERED NO EXCUSE NO EXPLANATION,he had been late he had offered no excuse no explanation
wav_1108.wav,yes and a very respectable one,YES AND A VERY RESPECTABLE ONE,yes and a very respectable one
